,ap_srf_puhd,ap_rf_puhd,ap_rf,ap_dt_puhd,ap_dt_hd,ap_upu,ap_nnpu,ap_imbnnpu,ap_pubag,ap_elkno,ap_spyem,ap_welog,ap_rnkpr,,f1_max_srf_puhd,f1_max_rf_puhd,f1_max_rf,f1_max_dt_puhd,f1_max_dt_hd,f1_max_upu,f1_max_nnpu,f1_max_imbnnpu,f1_max_pubag,f1_max_elkno,f1_max_spyem,f1_max_welog,f1_max_rnkpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winequality,0.682792295,0.093898244,0.119107782,0.116977887,0.177233002,0.698316272,0.095066864,0.005263158,0.096323619,0.164681977,0.693770205,0.09215715,0.011145511,0.105696162,0.157811143,0.603613281,0.065209907,0.011111111,0.111823829,0.142365286,0.605977236,0.065535374,0.024549846,0.112002464,0.140072905,0.744989224,0.100203734,0.082728445,0.099748785,0.197907761,0.742322198,0.11629372,0,0.172485638,0.212640419,0.729562904,0.111979886,0,0.145793492,0.214651773,0.759873384,0.12100163,0.128669665,0.077198064,0.245398043,0.514426185,0.056324481,0,0.033846068,0.082439454,0.604562904,0.079673137,0.076853089,0.079110898,0.107098898,0.743857759,0.153192987,0.152251169,0.084596979,0.24557896,0.74179014,0.151513948,0.140294253,0.066127251,0.264317878
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
