,chile,cover,fraud_car_insur,fraud_creditcard,korean5,mammography,piechart2,pizzacutter1,satellite,winequality,AP,F1MAX,AP,F1MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_elkno,0.064211174,0.849067192,0,0.08218155,0,0.019469009,0,0.026648427,0.489049674,0,f1,f1_elk,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_elkno,0.177617212,0.251305467,0.016274166,0.13982301,0,0.042546246,0.002336449,0.141964013,0.123792534,0.033846068,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_elkno,0.26147915,0.926137444,0.141406199,0.249042682,0.10187611,0.128217845,0.028646465,0.280064002,0.67439312,0.082439454,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_spyem,0.633503164,0.985774556,0.72793819,0.94454424,0.67115835,0.890803145,0.644931507,0.696627391,0.740017991,0.604562904,ro,roc_sp,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_spyem,0.097850616,0.403753141,0.116543991,0.034366256,0.083411649,0.292812967,0.060858389,0.161766069,0.061411118,0.079673137,ap,ap_spy,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_spyem,0.118550858,0.36318743,0.130791749,0.042280177,0.062870121,0.202454355,0.067570288,0.251903389,0.05888649,0.076853089,f1,f1_spy,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_ci_spyem,0.116345639,0.165282818,0.131349522,0.03534642,0.091989599,0.127991239,0.075197933,0.250065389,0.057364274,0.079110898,f1,f1_ci_,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1_max_spyem,0.129635252,0.484696157,0.142782328,0.047593261,0.148739224,0.27184625,0.081896538,0.261976754,0.062553917,0.107098898,f1,f1_max,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roc_rnkpr,0.857856118,0.998509152,0.815613968,0.886335559,0.69190326,0.907416017,0.66739726,0.770449112,0.955002922,0.743857759,ro,roc_rn,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap_rnkpr,0.391562636,0.96030768,0.177279835,0.522737709,0.154371207,0.601530031,0.061833543,0.284045903,0.68253396,0.153192987,ap,ap_rnk,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
